 Deff   Wavelength  Qext              Qabs              Qsca              Albedo            Parea             Volume            Gfactor
   10        10.50  8.3983337900e-01  5.6606209300e-01  2.7377128600e-01  3.2598285904e-01  2.8320736700e+02  1.8880576200e+03  8.7391598840e-01
   10        10.60  8.7896615300e-01  6.2212258600e-01  2.5684356700e-01  2.9221098688e-01  2.8320736700e+02  1.8880576200e+03  8.7613596334e-01
   10        10.70  9.5832234600e-01  6.8180653400e-01  2.7651581200e-01  2.8854154675e-01  2.8320736700e+02  1.8880576200e+03  8.7686567812e-01
   10        10.80  1.0376825300e+00  7.4077185700e-01  2.9691067300e-01  2.8612862260e-01  2.8320736700e+02  1.8880576200e+03  8.7695516085e-01
   10        10.90  1.1275649100e+00  7.8954324400e-01  3.3802166600e-01  2.9978022817e-01  2.8320736700e+02  1.8880576200e+03  8.7559456322e-01
   10        11.00  1.2175085500e+00  8.3819120700e-01  3.7931734300e-01  3.1155209793e-01  2.8320736700e+02  1.8880576200e+03  8.7451768848e-01
   10        11.10  1.2903534200e+00  8.7124952900e-01  4.1910389100e-01  3.2479775270e-01  2.8320736700e+02  1.8880576200e+03  8.7286920703e-01
   10        11.20  1.3624103100e+00  9.0408689100e-01  4.5832341900e-01  3.3640630553e-01  2.8320736700e+02  1.8880576200e+03  8.7118830382e-01
   10        11.30  1.4251426500e+00  9.3059990200e-01  4.9454274800e-01  3.4701280465e-01  2.8320736700e+02  1.8880576200e+03  8.6927354357e-01
   10        11.40  1.4776356200e+00  9.5184337900e-01  5.2579224100e-01  3.5583349094e-01  2.8320736700e+02  1.8880576200e+03  8.6753437467e-01
   10        11.50  1.5204308000e+00  9.6787798100e-01  5.5255281900e-01  3.6341859097e-01  2.8320736700e+02  1.8880576200e+03  8.6606212754e-01
   10        11.60  1.5627789500e+00  9.8351097100e-01  5.7926797900e-01  3.7066533242e-01  2.8320736700e+02  1.8880576200e+03  8.6453882168e-01
   10        11.70  1.6021347000e+00  9.9759018000e-01  6.0454452000e-01  3.7733688684e-01  2.8320736700e+02  1.8880576200e+03  8.6301840268e-01
   10        11.80  1.6376620500e+00  1.0095090840e+00  6.2815296600e-01  3.8356690625e-01  2.8320736700e+02  1.8880576200e+03  8.6140702231e-01
   10        11.90  1.6733468800e+00  1.0219822550e+00  6.5136462500e-01  3.8925857680e-01  2.8320736700e+02  1.8880576200e+03  8.5991415638e-01
   10        12.00  1.7017961700e+00  1.0295380310e+00  6.7225813900e-01  3.9502858853e-01  2.8320736700e+02  1.8880576200e+03  8.5849421304e-01
   10        12.10  1.7307043100e+00  1.0372101690e+00  6.9349414100e-01  4.0070053388e-01  2.8320736700e+02  1.8880576200e+03  8.5712908135e-01
   10        12.20  1.7587944300e+00  1.0448587570e+00  7.1393567300e-01  4.0592331930e-01  2.8320736700e+02  1.8880576200e+03  8.5569008120e-01
   10        12.30  1.7832675000e+00  1.0497025870e+00  7.3356491300e-01  4.1135999675e-01  2.8320736700e+02  1.8880576200e+03  8.5435734029e-01
   10        12.40  1.8081126200e+00  1.0546997770e+00  7.5341284300e-01  4.1668468804e-01  2.8320736700e+02  1.8880576200e+03  8.5306692867e-01
   10        12.50  1.8323996100e+00  1.0593734420e+00  7.7302616800e-01  4.2186549472e-01  2.8320736700e+02  1.8880576200e+03  8.5171120882e-01
   10        12.60  1.8500202900e+00  1.0580756070e+00  7.9194468300e-01  4.2807351210e-01  2.8320736700e+02  1.8880576200e+03  8.4971046393e-01
