 Deff   Wavelength   Qext              Qabs              Qsca              Albedo            Parea             Volume            Gfactor
   10    1.3160000	 2.2685194000e+00  1.8897225400e-03  2.2666296775e+00  9.9916697978e-01  5.6478466000e+01  3.7649151600e+02  8.1601408029e-01
   10    1.3330000	 2.2718927900e+00  2.5658470100e-03  2.2693269430e+00  9.9887061264e-01  5.6478466000e+01  3.7649151600e+02  8.1515367202e-01
   10    1.3510000	 2.2743961800e+00  4.3877437700e-03  2.2700084362e+00  9.9807080938e-01  5.6478466000e+01  3.7649151600e+02  8.1438225824e-01
   10    1.3700000	 2.2770133000e+00  6.1592906700e-03  2.2708540093e+00  9.9729501331e-01  5.6478466000e+01  3.7649151600e+02  8.1353748854e-01
   10    1.3890000	 2.2800815100e+00  1.0264576400e-02  2.2698169336e+00  9.9549815375e-01  5.6478466000e+01  3.7649154700e+02  8.1304537219e-01
   10    1.4080000	 2.2825012200e+00  2.3787830000e-02  2.2587133900e+00  9.8957817425e-01  5.6478466000e+01  3.7649151600e+02  8.1350367644e-01
   10    1.4290000	 2.2850740000e+00  3.3869892400e-02  2.2512041076e+00  9.8517777000e-01  5.6478466000e+01  3.7649151600e+02  8.1371317152e-01
   10    1.4430000	 2.2869031400e+00  3.4678772100e-02  2.2522243679e+00  9.8483592440e-01  5.6478466000e+01  3.7649151600e+02  8.1299768325e-01
   10    1.4710000	 2.2905442700e+00  3.1352121400e-02  2.2591921486e+00  9.8631237047e-01  5.6478466000e+01  3.7649154700e+02  8.1102363947e-01
   10    1.4930000	 2.2928268900e+00  2.3970751100e-02  2.2688561389e+00  9.8954532887e-01  5.6478466000e+01  3.7649151600e+02  8.0938819179e-01
   10    1.5150000	 2.2955811000e+00  1.7335122500e-02  2.2782459775e+00  9.9244848178e-01  5.6478466000e+01  3.7649151600e+02  8.0740312351e-01
   10    1.5380000	 2.2982540100e+00  1.3541506600e-02  2.2847125034e+00  9.9410791560e-01  5.6478466000e+01  3.7649151600e+02  8.0599660270e-01
   10    1.5630000	 2.3012549900e+00  1.0839567500e-02  2.2904154225e+00  9.9528971472e-01  5.6478466000e+01  3.7649151600e+02  8.0425974628e-01
